Date,Open,High,Low,Close,Adj Close,Volume
2014-12-28,1.817000,1.870000,1.817000,1.865000,1.394566,0
2015-01-04,1.884000,1.917000,1.807000,1.897000,1.418494,2000
2015-01-11,1.852000,1.852000,1.541000,1.541000,1.152293,1135
2015-01-18,1.593000,1.634000,1.510000,1.510000,1.129112,1650
2015-01-25,1.465000,1.586000,1.411000,1.586000,1.185942,0
2015-02-01,1.578000,1.753000,1.551000,1.691000,1.264456,8300
2015-02-08,1.689000,1.816000,1.611000,1.732000,1.295114,9095
2015-02-15,1.810000,1.810000,1.632000,1.632000,1.220339,1000
2015-02-22,1.652000,1.710000,1.622000,1.710000,1.278664,1000
2015-03-01,1.693000,1.693000,1.493000,1.493000,1.116401,0
2015-03-08,1.498000,1.498000,1.372000,1.407000,1.070881,7770
2015-03-15,1.448000,1.448000,1.320000,1.400000,1.065553,3461
2015-03-22,1.416000,1.501000,1.389000,1.420000,1.080775,0
2015-03-29,1.358000,1.364000,1.266000,1.296000,0.986398,5500
2015-04-05,1.296000,1.353000,1.244000,1.350000,1.027498,2500
2015-04-12,1.253000,1.402000,1.253000,1.330000,1.012276,0
2015-04-19,1.359000,1.566000,1.321000,1.566000,1.191897,5900
2015-04-26,1.810000,1.869000,1.547000,1.547000,1.177436,7500
2015-05-03,1.703000,1.802000,1.686000,1.770000,1.347163,1000
2015-05-10,1.797000,1.886000,1.608000,1.608000,1.223864,1390
2015-05-17,1.578000,1.591000,1.455000,1.478000,1.124920,0
2015-05-24,1.478000,1.750000,1.478000,1.643000,1.250503,11000
2015-05-31,1.640000,1.684000,1.481000,1.551000,1.180480,6300
2015-06-07,1.574000,1.686000,1.569000,1.645000,1.252025,0
2015-06-14,1.661000,1.661000,1.450000,1.480000,1.126442,620
2015-06-21,1.472000,1.492000,1.410000,1.415000,1.076970,23850
2015-06-28,1.306000,1.381000,1.229000,1.229000,0.935403,2800
2015-07-05,1.153000,1.206000,1.059000,1.185000,0.901914,0
2015-07-12,1.148000,1.210000,1.134000,1.134000,0.863098,800
2015-07-19,1.171000,1.174000,1.088000,1.136000,0.864620,100
2015-07-26,1.104000,1.222000,1.104000,1.203000,0.915615,0
2015-08-02,1.204000,1.266000,1.173000,1.247000,0.949103,0
2015-08-09,1.256000,1.287000,1.151000,1.151000,0.876037,256
2015-08-16,1.196000,1.304000,1.196000,1.206000,0.917898,0
2015-08-23,1.066000,1.180000,0.943000,1.131000,0.860815,3400
2015-08-30,1.184000,1.184000,1.096000,1.120000,0.852442,22760
2015-09-06,1.160000,1.256000,1.160000,1.243000,0.970847,1400
2015-09-13,1.268000,1.302000,1.224000,1.249000,0.975533,0
2015-09-20,1.224000,1.225000,1.082000,1.089000,0.850565,0
2015-09-27,1.103000,1.135000,1.015000,1.080000,0.843536,0
2015-10-04,1.146000,1.437000,1.146000,1.420000,1.109093,13600
2015-10-11,1.507000,1.510000,1.355000,1.501000,1.172359,9900
2015-10-18,1.441000,1.674000,1.441000,1.661000,1.297327,8751
2015-10-25,1.646000,1.650000,1.310000,1.310000,1.023178,0
2015-11-01,1.343000,1.427000,1.337000,1.408000,1.099721,5000
2015-11-08,1.434000,1.552000,1.380000,1.446000,1.129401,0
2015-11-15,1.473000,1.473000,1.335000,1.374000,1.073165,0
2015-11-22,1.461000,1.461000,1.327000,1.367000,1.067698,0
2015-11-29,1.311000,1.339000,1.241000,1.241000,0.969285,0
2015-12-06,1.227000,1.227000,1.133000,1.138000,0.888837,12221
2015-12-13,1.149000,1.214000,1.112000,1.112000,0.868529,0
2015-12-20,1.143000,1.161000,1.123000,1.161000,0.906801,0
2015-12-27,1.216000,1.219000,1.194000,1.219000,0.952102,360
2016-01-03,1.221000,1.249000,1.067000,1.092000,0.852908,8000
2016-01-10,1.022000,1.044000,0.949000,1.005000,0.784957,6000
2016-01-17,0.966000,0.977000,0.882000,0.967000,0.755277,1620
